ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"19920109";"1200";"1";"True";"1";"Temperatur";"grader C";"4,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920206";"1200";"1";"True";"1";"Temperatur";"grader C";"4,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920304";"1200";"1";"True";"1";"Temperatur";"grader C";"4,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920331";"1200";"1";"True";"1";"Temperatur";"grader C";"4,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920414";"1200";"1";"True";"1";"Temperatur";"grader C";"5,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920429";"1200";"1";"True";"1";"Temperatur";"grader C";"6,5";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920512";"1200";"1";"True";"1";"Temperatur";"grader C";"8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920525";"1200";"1";"True";"1";"Temperatur";"grader C";"19,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920611";"1200";"1";"True";"1";"Temperatur";"grader C";"21,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920623";"1200";"1";"True";"1";"Temperatur";"grader C";"20";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920715";"1200";"1";"True";"1";"Temperatur";"grader C";"17,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920729";"1200";"1";"True";"1";"Temperatur";"grader C";"19,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920812";"1200";"1";"True";"1";"Temperatur";"grader C";"19,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920825";"1200";"1";"True";"1";"Temperatur";"grader C";"18,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920908";"1200";"1";"True";"1";"Temperatur";"grader C";"15,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19920922";"1200";"1";"True";"1";"Temperatur";"grader C";"15,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19921007";"1200";"1";"True";"1";"Temperatur";"grader C";"12,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930517";"1200";"1";"True";"1";"Temperatur";"grader C";"16,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930601";"1200";"1";"True";"1";"Temperatur";"grader C";"13,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930616";"1200";"1";"True";"1";"Temperatur";"grader C";"16,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930714";"1200";"1";"True";"1";"Temperatur";"grader C";"14,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930824";"1200";"1";"True";"1";"Temperatur";"grader C";"15";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930907";"1200";"1";"True";"1";"Temperatur";"grader C";"15,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19930921";"1200";"1";"True";"1";"Temperatur";"grader C";"12,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19990721";"1200";"1";"True";"1";"Temperatur";"grader C";"19,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19991102";"1200";"1";"True";"1";"Temperatur";"grader C";"9,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000112";"1200";"1";"True";"1";"Temperatur";"grader C";"3,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000308";"1200";"1";"True";"1";"Temperatur";"grader C";"3,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000412";"1200";"1";"True";"1";"Temperatur";"grader C";"6,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000510";"1200";"1";"True";"1";"Temperatur";"grader C";"18,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000614";"1200";"1";"True";"1";"Temperatur";"grader C";"14,6";"=";"D, FDC faglig kontrol";"Godkendt";""
