datetime,layer,tp
1996-05-01,epi,25.393851734075337
1996-06-01,epi,24.666389077427603
1996-07-01,epi,23.798078383620982
1996-08-01,epi,22.858057864380708
1996-09-01,epi,22.06203022633408
1996-10-01,epi,22.414806315544286
1996-11-01,epi,36.5972340618178
1996-12-01,epi,41.347426273869004
1997-01-01,epi,56.189833196213115
1997-02-01,epi,42.260538108832684
1997-03-01,epi,41.16748582361215
1997-04-01,epi,41.781259911950954
1997-05-01,epi,40.234945736396185
1997-06-01,epi,38.940008086026694
1997-07-01,epi,37.62575755201996
1997-08-01,epi,36.21829292993185
1997-09-01,epi,34.72322225739507
1997-10-01,epi,33.34318126271126
1997-11-01,epi,33.351744054307304
1997-12-01,epi,29.07910000162886
1998-01-01,epi,34.21613233713551
1998-02-01,epi,39.06375710767648
1998-03-01,epi,45.1321878366618
1998-04-01,epi,38.77496403272394
1998-05-01,epi,22.03107020536191
1998-06-01,epi,28.135136114926496
1998-07-01,epi,27.707024295693728
1998-08-01,epi,22.138209113928756
1998-09-01,epi,14.120140453929215
1998-10-01,epi,28.171279584491682
1998-11-01,epi,32.4630339549092
1998-12-01,epi,33.029489978912814
1999-01-01,epi,43.096554655588676
1999-02-01,epi,51.48769198537839
1999-03-01,epi,51.5359198403774
1999-04-01,epi,43.23301120622157
1999-05-01,epi,28.744008699822494
1999-06-01,epi,38.36653647111615
1999-07-01,epi,22.45523282487164
1999-08-01,epi,19.78793260213422
1999-09-01,epi,21.834776340722726
1999-10-01,epi,19.038304924059588
1999-11-01,epi,21.388348061644205
1999-12-01,epi,34.99784694162405
2000-01-01,epi,46.662099235361076
2000-02-01,epi,52.63584043798217
2000-03-01,epi,63.87437788106079
2000-04-01,epi,37.40708301380933
2000-05-01,epi,28.83894727224316
2000-06-01,epi,17.621035020937207
2000-07-01,epi,16.62850197314276
2000-08-01,epi,16.51974483679581
2000-09-01,epi,17.678486429647457
2000-10-01,epi,17.555811565164504
2000-11-01,epi,26.341808812966587
2000-12-01,epi,32.911423003669206
2001-01-01,epi,35.807265821136056
2001-02-01,epi,38.575940803035486
2001-03-01,epi,41.84347277517229
2001-04-01,epi,28.655276037608612
2001-05-01,epi,19.777144247417105
2001-06-01,epi,17.543351681645582
2001-07-01,epi,15.573148632252327
2001-08-01,epi,24.50057801634431
2001-09-01,epi,32.70972646192202
2001-10-01,epi,27.369645375382667
2001-11-01,epi,36.407014204509
2001-12-01,epi,69.47994979044006
2002-01-01,epi,39.56583887405927
2002-02-01,epi,45.125266272889974
2002-03-01,epi,48.51863287383528
2002-04-01,epi,40.83169409285277
2002-05-01,epi,22.96879486659101
2002-06-01,epi,22.220579555182006
2002-07-01,epi,26.597464553814568
2002-08-01,epi,19.633736785583984
2002-09-01,epi,22.39445168425228
2002-10-01,epi,22.950823852317832
2002-11-01,epi,23.45501006135309
2002-12-01,epi,23.528629041305585
2003-01-01,epi,30.32550049233401
2003-02-01,epi,27.16546296789085
2003-03-01,epi,17.482582789875867
2003-04-01,epi,15.698962897282891
2003-05-01,epi,23.46055064371884
2003-06-01,epi,35.11351432173554
2003-07-01,epi,16.29040919731075
2003-08-01,epi,12.1873048196746
2003-09-01,epi,15.839590101706525
2003-10-01,epi,17.036203308742554
2003-11-01,epi,20.840492751995086
2003-12-01,epi,27.344382640014242
2004-01-01,epi,53.701887281524876
2004-02-01,epi,144.5915357153926
2004-03-01,epi,59.93002379589901
2004-04-01,epi,27.214894905108835
2004-05-01,epi,20.021168589690376
2004-06-01,epi,24.05835328218286
2004-07-01,epi,15.391482567143346
2004-08-01,epi,16.204637355245392
2004-09-01,epi,20.05430331881451
2004-10-01,epi,29.25705306656777
2004-11-01,epi,30.945340832138974
2004-12-01,epi,37.12360978082882
2005-01-01,epi,37.98629870922742
2005-02-01,epi,37.11503531552217
2005-03-01,epi,36.24097399542771
2005-04-01,epi,32.927885013067154
2005-05-01,epi,20.25944891653613
2005-06-01,epi,16.270753987200234
2005-07-01,epi,18.025615403338982
2005-08-01,epi,20.51991406378057
2005-09-01,epi,20.21928125519301
2005-10-01,epi,20.468934751630893
2005-11-01,epi,23.787446067040218
2005-12-01,epi,33.60460113703298
2006-01-01,epi,25.009191194536516
2006-02-01,epi,29.040593804272802
2006-03-01,epi,28.348523806427494
2006-04-01,epi,28.359731984811418
2006-05-01,epi,26.71407767370102
2006-06-01,epi,17.17251770817203
2006-07-01,epi,15.846047932455434
2006-08-01,epi,14.108147455370855
2006-09-01,epi,15.89261466435067
2006-10-01,epi,21.033800867104386
2006-11-01,epi,24.98875378415044
2006-12-01,epi,36.87575354114544
2007-01-01,epi,47.571159421560886
2007-02-01,epi,43.745147476849205
2007-03-01,epi,41.182374376727275
2007-04-01,epi,16.531370793027648
2007-05-01,epi,17.682748609151485
2007-06-01,epi,17.380875167323943
2007-07-01,epi,19.462468266994225
2007-08-01,epi,11.767981648959864
2007-09-01,epi,11.93322780286303
2007-10-01,epi,18.988149252611645
2007-11-01,epi,35.48559406159027
2007-12-01,epi,42.80224641964842
2008-01-01,epi,52.585341291285474
2008-02-01,epi,44.30328275634994
2008-03-01,epi,43.43283348657517
2008-04-01,epi,27.15749999500673
2008-05-01,epi,15.144380694310787
2008-06-01,epi,15.490201003886824
2008-07-01,epi,17.215730894928324
2008-08-01,epi,15.447813058615099
2008-09-01,epi,13.643380744741847
2008-10-01,epi,18.9638245175892
2008-11-01,epi,29.551136672319753
2008-12-01,epi,32.14452587727988
2009-01-01,epi,39.63060192504818
2009-02-01,epi,41.57344334178854
